ID_Num Approach_pre Approach_rate_pre Avoid_pre Avoid_rate_pre AmbigApproach_pre AmbigApproach_rate_pre AmbigAvoid_pre AmbigAvoid_rate_pre Approach_post Approach_rate_post Avoid_post Avoid_rate_post AmbigApproach_post AmbigApproach_rate_post AmbigAvoid_post AmbigAvoid_rate_post
2352 16 2.6145926954816674 16 2.8597813458846097 13 2.0903122068873135 3 2.8526148969889245 16 2.837969669199171 16 2.8574830336944994 16 2.527379949452407 0 NA
2353 14 2.085868242656002 16 2.4195377674723386 12 1.9864260883959581 3 2.1327014218009603 15 1.9297568506368197 8 2.7380069591010225 11 1.8740948973507099 1 2.866698518872432
2354 16 2.8832292167227345 16 2.980811029000809 13 2.47886607767115 3 2.231866088034718 16 2.7740854187135233 16 2.4119390985377636 16 2.22407561857104 0 NA
2363 12 2.2606675248830395 16 3.060443764345846 9 1.9446144981814149 5 1.618559482060966 16 2.568836798587136 16 3.132239224770793 11 2.041195026906659 4 2.4770358138094797
2367 15 2.0534817924614464 16 2.2148905244214747 2 1.1194029850746268 13 2.0834446284523787 NA NA NA NA NA NA NA NA
2377 16 1.756665263774265 16 2.4456729421954915 6 1.636438019909996 7 1.7035084161427696 13 1.940443316665423 16 2.4289039570893673 1 1.3818516812528852 11 2.2219977780022195
2386 16 2.408610783551195 16 2.4668516805427116 14 2.0154034405815873 2 2.4539877300613697 13 1.7969037965352008 16 2.2427810485001465 12 1.4906215063558463 4 2.0132539216508647
2387 15 3.5041270830088815 16 3.443205050034073 12 2.323030263922052 2 3.186404673393504 16 2.718314644920151 16 3.2819390790058502 10 1.7811025024490175 5 2.1818181818181883
2393 12 1.6430103600931059 16 1.751664994069884 1 1.506402209389907 5 1.5071590052750565 15 2.0476883873316374 15 1.917504687233676 3 1.4900662251655616 13 1.9416992357670961
2396 15 1.9552890568989194 16 2.3042027698437493 1 1.921229586935645 13 2.1801106825423506 16 2.867383512544802 16 2.6343230338620267 9 2.5322391559202764 7 2.0770486128282486
2399 15 2.3123763520978424 16 2.968368325036338 15 2.0521239482864777 0 NA NA NA NA NA NA NA NA NA
2400 15 2.206044562100159 15 2.016219364666877 10 1.8130174654015823 6 1.5779092702169633 15 2.3436889664331635 14 2.5039496825349485 5 1.9549068161084322 5 2.3426518819303452
2406 NA NA NA NA NA NA NA NA 16 2.7404299049413368 16 2.5889967637540408 12 2.1907138075823007 4 1.9026478515934633
2411 11 1.3318534961154287 15 1.835086860778079 6 1.2725794478419166 1 2.1156558533145424 NA NA NA NA NA NA NA NA
2412 15 2.031877906714225 16 2.272189349112429 10 1.485258806347008 5 1.6070280694236152 NA NA NA NA NA NA NA NA
2413 15 1.7104087877002612 16 2.095200680940217 7 1.4769490452579408 5 1.8781694108808578 NA NA NA NA NA NA NA NA
2414 16 2.6871938418474515 16 2.6957962427339868 16 2.595927638517075 0 NA 16 2.495191557935226 16 2.9258480387674775 15 2.573045914574877 1 2.545608824777227
2415 15 1.5163002274450368 16 1.7789967199747998 12 1.4598244155633509 2 1.7160017160017111 16 2.6173728120399153 16 2.665704051314795 12 1.9245676405335286 4 2.6275454346398104
2419 16 2.2927015666794026 16 2.391390992427258 13 1.8210683601045976 0 NA 16 2.6680006670001744 16 2.837466378979095 16 2.3707215883834745 0 NA
2420 16 1.5150319577053593 16 1.760595668201075 10 1.5789058182679387 5 1.9152196118488194 8 2.1917808219178103 8 2.3830801310694154 6 1.742244591782413 2 2.178649237472767
2424 16 2.4758859029246385 16 2.669855660928329 1 1.2368583797155226 15 2.226785758467972 16 3.5550288846096754 16 3.1658092599920957 0 NA 16 2.3395233221231173
2427 12 2.6938042502244772 16 2.861912711662287 11 1.8053997866345721 5 2.4703557312252884 16 3.4269803305607986 16 3.5073618062913248 14 2.712827800025835 2 2.6507620941020664
2428 15 2.5018068605103765 16 2.4912417282989385 8 1.5778574011373743 7 2.2133220910623925 16 2.277309927647964 16 2.398500936914429 8 1.734793451154725 7 2.196193265007323
2433 15 2.397889856925915 16 2.5212732429877085 16 2.311748982589642 0 NA 16 2.4392722837686813 16 2.50104210087537 14 1.9410745233968827 1 2.430133657351135
